"row","filename","title","author","year","page_number","image_url","license"
"49","049_bsb10227716_44_conf_1.00.png","Die Geldlehre oder Erklärung des Rechnungs-, Silber-, Gold- und Papier-Geldes aller Länder Europas und der bedeutendsten Handelsplätze der übrigen Welttheile und dessen Werth in Preußischen Kurant, wie auch in Gulden und Krtz. des 24-1/2-Fl.- u. 20-Fl.-Fß. : nebst Tabellen über die in Deutschland üblichen Maße und Gewichte ; ein Handbuch für Kaufleute und Geschäftstreibende","Schellenberg, Otto","1844","50 (0044)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10227716_00044/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"50","050_bsb11034271_16_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1856","Deutscher Zollverein","1856","16 (0016)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034271_00016/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"51","051_bsb11507315_32_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1888, 1. Jan. - 31. Aug.",,"1888","30 (0032)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507315_00032/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"52","052_bsb11034273_36_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine. Nummer 6, Übersicht der Waaren-Mengen und sonstigen Gegenstände, wofür in den einzelnen Hauptamtsbezirken des Gesammt-Zollvereins im Jahre ... Durchgangs-Abgaben erhoben worden sind / 1858","Deutscher Zollverein","1858","36 (0036)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034273_00036/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"53","053_bsb10388362_426_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 12. 1869",,"1869","418 (0426)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10388362_00426/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"54","054_bsb11355807_300_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 29. 1877",,"1877","292 (0300)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11355807_00300/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"55","055_bsb11034289_21_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1848","Deutscher Zollverein","1848","21 (0021)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034289_00021/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"56","056_bsb11034288_37_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine. Nummer 2, Uebersicht des Waaren-Einganges auf dem Rhein und der Mosel : für das Jahr ... / 1860","Deutscher Zollverein","1860","37 (0037)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034288_00037/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"57","057_bsb10292389_121_conf_1.00.png","Ueber Hamburgs Handel / 3 : Statistik des Hamburgischen Handels : 1842. 1843. 1844.","Soetbeer, Adolf","1846","113 (0121)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10292389_00121/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"58","058_bsb11034273_34_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine. Nummer 6, Übersicht der Waaren-Mengen und sonstigen Gegenstände, wofür in den einzelnen Hauptamtsbezirken des Gesammt-Zollvereins im Jahre ... Durchgangs-Abgaben erhoben worden sind / 1858","Deutscher Zollverein","1858","34 (0034)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034273_00034/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"59","059_bsb11039513_302_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 17. 1871",,"1871","(0302)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11039513_00302/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
